State,Amaretto,Caffe Latte,Caffe Mocha,Chamomile,Columbian,Darjeeling,Decaf Espresso,Decaf Irish Cream,Earl Grey,Green Tea,Lemon,Mint,Regular Espresso
CA,-108.75,221.9166667,43.66666667,160.3333333,422.3333333,168.75,324.5833333,-192,115,67.08333333,268.8333333,76.66666667,
CO,168.3333333,,115.25,132.5,77.25,18.08333333,67.5,160.25,40.83333333,62.91666667,-6.916666667,40.33333333,
CT,,,0.166666667,,148.5,60.41666667,33.33333333,,,30.41666667,48.83333333,55.66666667,
FL,,,28.58333333,37.66666667,113.5833333,46.41666667,85.75,134.3333333,,66.33333333,24.5,69.58333333,
IL,,,324.3333333,168,215,114.9166667,221.75,170.6666667,67.83333333,,77.41666667,160.4166667,
IA,18.5,,20.41666667,324.5,10.25,221.4166667,42.91666667,9.333333333,277.75,,170.8333333,,
LA,,0,72.08333333,74.16666667,56.16666667,,45.66666667,66.5,,,49,,
MA,,,-14.83333333,,615.3333333,35.08333333,,,,24.33333333,18.08333333,,132.8333333
MO,,,60.66666667,-8.333333333,48.83333333,17.75,50,55.5,-10.33333333,-2.25,-33.91666667,,
NV,,43,18.41666667,43.66666667,-2.25,324.6666667,20.16666667,10.16666667,222,-542.25,214.75,170.4166667,
NH,49.75,,-8.25,,44.25,18.58333333,,,,43.25,-2,,-10.33333333
NM,,-10.25,-7.916666667,18.5,44.5,,18.16666667,-33.75,,,9.833333333,,
NY,,,-313.3333333,,422.25,160.4166667,,,168,114.5833333,299.6666667,-235.6666667,375.25
OH,40.66666667,,132.1666667,24.5,40.91666667,113.5833333,17.58333333,-6.333333333,134.25,,35.08333333,,
OK,,134.25,24.41666667,24.33333333,63,,113.5,34.66666667,,,28.08333333,,
OR,-6.583333333,17.66666667,40.5,34.91666667,19.75,24.16666667,132.1666667,41.33333333,113.8333333,134.3333333,62.66666667,,
TX,,67.25,168.5833333,40,268.9166667,,115.0833333,77.41666667,,,41.16666667,,
UT,55.83333333,49.91666667,74.16666667,49.75,33.66666667,-7.666666667,60.5,48.33333333,17.91666667,-10.25,44.66666667,-33.83333333,
WA,,37.83333333,24.08333333,148.5,81.75,72.08333333,70,27.75,45.58333333,-0.25,56.33333333,,
WI,24.5,,69.91666667,71.83333333,28.25,45.41666667,37.75,85.91666667,0.083333333,,65.91666667,,
